"","Neighbourhood","total"
"1","Bay Street Corridor (76)",24
"2","Black Creek (24)",24
"3","Church-Yonge Corridor (75)",20
"4","Downsview-Roding-CFB (26)",29
"5","Glenfield-Jane Heights (25)",30
"6","Malvern (132)",30
"7","Moss Park (73)",31
"8","Mount Olive-Silverstone-Jamestown (2)",28
"9","Rouge (131)",21
"10","South Riverdale (70)",25
"11","Waterfront Communities-The Island (77)",24
"12","West Humber-Clairville (1)",27
"13","Weston (113)",25
"14","Woburn (137)",25
